date,time_period,usage,is_free
2024-12-22,17:30 - 18:00,0.027,No
2024-12-22,18:00 - 18:30,0.046,No
2024-12-22,18:30 - 19:00,0.057,No
2024-12-22,19:00 - 19:30,0.057,No
2024-12-22,19:30 - 20:00,0.045,No
2024-12-22,20:00 - 20:30,0.498,No
2024-12-22,20:30 - 21:00,0.061,No
2024-12-22,21:00 - 21:30,1.953,Yes
2024-12-22,21:30 - 22:00,2.143,Yes
2024-12-22,22:00 - 22:30,1.039,Yes
2024-12-22,22:30 - 23:00,1.885,Yes
2024-12-22,23:00 - 23:30,0.298,Yes
2024-12-22,23:30 - 00:00,0.181,Yes
2024-12-21,00:00 - 00:30,0.041,No
2024-12-21,00:30 - 01:00,0.039,No
2024-12-21,01:00 - 01:30,0.056,No
2024-12-21,01:30 - 02:00,0.035,No
2024-12-21,02:00 - 02:30,0.053,No
2024-12-21,02:30 - 03:00,0.029,No
2024-12-21,03:00 - 03:30,0.034,No
2024-12-21,03:30 - 04:00,0.042,No
2024-12-21,04:00 - 04:30,0.028,No
2024-12-21,04:30 - 05:00,0.047,No
2024-12-21,05:00 - 05:30,0.028,No
2024-12-21,05:30 - 06:00,0.034,No
2024-12-21,06:00 - 06:30,1.621,Yes
2024-12-21,06:30 - 07:00,1.618,Yes
2024-12-21,07:00 - 07:30,0.061,No
2024-12-21,07:30 - 08:00,0.028,No
2024-12-21,08:00 - 08:30,0.039,No
2024-12-21,08:30 - 09:00,0.471,No
2024-12-21,09:00 - 09:30,0.977,No
2024-12-21,09:30 - 10:00,0.293,No
2024-12-21,10:00 - 10:30,0.025,No
2024-12-21,10:30 - 11:00,0.144,No
2024-12-21,11:00 - 11:30,0.133,No
2024-12-21,11:30 - 12:00,0.069,No
2024-12-21,12:00 - 12:30,0.076,No
2024-12-21,12:30 - 13:00,0.064,No
2024-12-21,13:00 - 13:30,2.038,No
2024-12-21,13:30 - 14:00,1.47,No
2024-12-21,14:00 - 14:30,0.141,No
2024-12-21,14:30 - 15:00,0.076,No
2024-12-21,15:00 - 15:30,0.084,No
2024-12-21,15:30 - 16:00,0.072,No
2024-12-21,16:00 - 16:30,0.095,No
2024-12-21,16:30 - 17:00,0.036,No
2024-12-21,17:00 - 17:30,0.049,No
2024-12-21,17:30 - 18:00,0.224,No
2024-12-21,18:00 - 18:30,0.635,No
2024-12-21,18:30 - 19:00,0.056,No
2024-12-21,19:00 - 19:30,0.04,No
2024-12-21,19:30 - 20:00,0.065,No
2024-12-21,20:00 - 20:30,0.031,No
2024-12-21,20:30 - 21:00,0.062,No
2024-12-21,21:00 - 21:30,1.728,Yes
2024-12-21,21:30 - 22:00,2.107,Yes
2024-12-21,22:00 - 22:30,1.605,Yes
2024-12-21,22:30 - 23:00,0.441,Yes
2024-12-21,23:00 - 23:30,0.23,Yes
2024-12-21,23:30 - 00:00,0.096,Yes
2024-12-20,00:00 - 00:30,0.061,No
2024-12-20,00:30 - 01:00,0.068,No
2024-12-20,01:00 - 01:30,0.092,No
2024-12-20,01:30 - 02:00,0.078,No
2024-12-20,02:00 - 02:30,0.071,No
2024-12-20,02:30 - 03:00,0.056,No
2024-12-20,03:00 - 03:30,0.053,No
2024-12-20,03:30 - 04:00,0.034,No
2024-12-20,04:00 - 04:30,0.052,No
2024-12-20,04:30 - 05:00,0.04,No
2024-12-20,05:00 - 05:30,0.036,No
2024-12-20,05:30 - 06:00,0.045,No
2024-12-20,06:00 - 06:30,1.6,Yes
2024-12-20,06:30 - 07:00,0.078,Yes
2024-12-20,07:00 - 07:30,0.036,No
2024-12-20,07:30 - 08:00,0.024,No
2024-12-20,08:00 - 08:30,0.05,No
2024-12-20,08:30 - 09:00,0.18,No
